"","poblacio","superficie","confirmed","deaths","population_dens"
"Andalucia",2.32201457462516,2.01719119338594,0.0141734153955867,-0.0454287926222358,-0.358639357050207
"Aragon",-0.403006191775723,0.697200788656899,-0.366907365931722,-0.270388679165038,-0.39871136324619
"Asturias",-0.52185236827418,-0.530158710477126,-0.539438112419572,-0.506268948549724,-0.359020641949712
"Balears",-0.448648355269106,-0.715420521667168,-0.559613299806775,-0.542961434898453,-0.274053022849791
"Canarias",-0.0572003105420539,-0.634368479271524,-0.0685558176677005,-0.0401870088581317,-0.240214761038464
"Cantabria",-0.688267521016196,-0.705495781781987,-0.543769198842368,-0.570917614973675,-0.351010325923172
"Castilla y Leon",0.00530613569211595,2.23553547085992,-0.544920500296529,-0.547766403348882,-0.400108394247567
"Castilla la Mancha",-0.130385257519519,1.74922321648606,0.244762649500415,0.628140421065146,-0.39997030867248
"Catalunya",2.00755896258911,0.181114314627498,0.347392950557057,0.217534026210322,-0.276245174662024
"Comunitat Valenciana",1.00719538090525,-0.110011388671139,2.3910078555717,1.97396840249888,-0.289371086140196
"Extremadura",-0.505458253774234,0.495397744324889,-0.663120782923731,-0.636876727338653,-0.400089482442707
"Galicia",0.120088960386526,0.095099902289264,-0.507640262733219,-0.41846907050098,-0.361644249185303
"Madrid",1.66259961298128,-0.61617312281536,-0.172940482844969,-0.37347709319242,0.0757789938942417
"Murcia",-0.33659464176666,-0.507000984078371,-0.448759416934696,-0.484864998179633,-0.337470128406513
"Navarra",-0.66000022848297,-0.536775203733913,2.98409257610095,3.24641141123516,-0.378212997217096
"Pais Vasco",-0.827086124076273,-0.640984972528312,-0.662901487408652,-0.637750357966003,-0.397419855248284
"La Rioja",-0.789863137054508,-0.713766398352971,-0.584119573616774,-0.575285768110429,-0.378541225267589
"Ceuta",-0.878289085182122,-0.880204286227453,-0.384341359380447,-0.418905885814656,2.1582708308531
"Melilla",-0.878112152445909,-0.880402781025156,0.0655982136814471,0.00349452250940276,3.36667254879995
