"","poblacio","superficie","confirmed","deaths","population_dens"
"Andalucia",8476718,87600,12471,1358,96.7661872146119
"Aragon",1330445,47700,5520,843,27.891928721174
"Asturias",1018775,10600,2373,303,96.1108490566038
"Balears",1210750,5000,2005,219,242.15
"Canarias",2237309,7450,10962,1370,300.309932885906
"Cantabria",582357,5300,2294,155,109.878679245283
"Castilla y Leon",2401230,94200,2273,208,25.4907643312102
"Castilla la Mancha",2045384,79500,16677,2900,25.7281006289308
"Catalunya",7652069,32100,18549,1960,238.382211838006
"Comunitat Valenciana",5028650,23300,55825,5981,215.821888412017
"Extremadura",1061768,41600,117,4,25.5232692307692
"Galicia",2702244,29500,2953,504,91.6014915254237
"Madrid",6747425,8000,9058,607,843.428125
"Murcia",1504607,11300,4027,352,133.151061946903
"Navarra",656487,10400,66643,8894,63.12375
"Pais Vasco",218310,7250,121,2,30.111724137931
"La Rioja",315926,5050,1558,145,62.559603960396
"Ceuta",84032,19,5202,503,4422.73684210526
"Melilla",84496,13,13409,1470,6499.69230769231
